geo_tz,fips
185000_11,911185
186000_11,911186
187000_12,912187
188000_13,913188
189000_10,910189
189000_11,911189
190000_04,904190
191000_18,918191
192000_11,911192
193000_10,910193
193000_11,911193
194000_07,907194
195000_04,904195
195000_05,905195
196000_23,923196
197000_04,904197
198000_10,910198
199000_07,907199
199000_08,908199
199000_09,909199
200000_06,906200
200000_07,907200
201000_11,911201
202000_11,911202
202000_12,912202
203000_11,911203
203000_12,912203
204000_11,911204
204000_12,912204
205000_13,913205
206000_12,912206
207000_12,912207
208000_12,912208
209000_10,910209
210000_17,917210
211000_05,905211
211000_06,906211
213000_12,912213
214000_13,913214
215000_13,913215
216000_09,909216
217000_13,913217
217000_14,914217
218000_12,912218
219000_09,909219
219000_10,910219
221000_19,919221
221000_20,920221
221000_21,921221
222000_05,905222
222000_06,906222
223000_11,911223
224000_11,911224
225000_02,902225
226000_24,924226
227000_12,912227
227000_13,913227
230000_12,912230
230000_13,913230
231000_05,905231
233000_13,913233
234000_12,912234
236000_13,913236
237000_12,912237
240000_11,911240
241000_12,912241
242000_10,910242
243000_11,911243
246000_01,901246
246000_02,902246
246000_03,903246
246000_04,904246
246000_05,905246
246000_06,906246
246000_07,907246
246000_08,908246
246000_09,909246
246000_10,910246
246000_11,911246
246000_12,912246
246000_13,913246
246000_14,914246
246000_15,915246
246000_16,916246
246000_17,917246
246000_18,918246
246000_19,919246
246000_20,920246
246000_21,921246
246000_22,922246
246000_23,923246
246000_24,924246
246000_25,925246
248000_08,908248
248000_10,910248
249000_08,908249
253000_02,902253
254000_12,912254
254000_13,913254
255000_12,912255
255000_13,913255
256000_12,912256
256000_13,913256
257000_08,908257
259000_16,916259
259000_17,917259
260000_19,919260
261000_01,901261
262000_17,917262
263000_18,918263
264000_08,908264
264000_09,909264
264000_10,910264
265000_12,912265
266000_18,918266
266000_19,919266
267000_13,913267
267000_14,914267
268000_03,903268
268000_04,904268
269000_13,913269
270000_10,910270
271000_09,909271
272000_11,911272
272000_12,912272
273000_11,911273
274000_05,905274
275000_17,917275
276000_01,901276
276000_02,902276
276000_03,903276
276000_04,904276
276000_05,905276
276000_06,906276
276000_07,907276
276000_08,908276
276000_09,909276
276000_10,910276
276000_11,911276
276000_12,912276
277000_11,911277
278000_10,910278
278000_11,911278
279000_17,917279
280000_09,909280
281000_10,910281
281000_11,911281
281000_12,912281
282000_11,911282
283000_11,911283
284000_13,913284
284000_14,914284
285000_12,912285
286000_13,913286
287000_05,905287
288000_10,910288
289000_12,912289
289000_13,913289
289000_14,914289
290000_17,917290
291000_11,911291
291000_12,912291
292000_12,912292
293000_11,911293
294000_12,912294
295000_17,917295
296000_06,906296
296000_07,907296
297000_07,907297
297000_08,908297
297000_09,909297
299000_00,900299
300000_13,913300
301000_13,913301
302000_12,912302
303000_11,911303
305000_08,908305
305000_09,909305
305000_10,910305
306000_10,910306
306000_11,911306
307000_10,910307
307000_11,911307
308000_13,913308
309000_11,911309
309000_12,912309
310000_18,918310
310000_19,919310
310000_20,920310
310000_21,921310
310000_22,922310
310000_23,923310
311000_13,913311
312000_16,916312
312000_17,917312
313000_07,907313
313000_08,908313
313000_09,909313
314000_17,917314
315000_17,917315
315000_18,918315
317000_06,906317
318000_17,917318
319000_11,911319
319000_12,912319
321000_24,924321
322000_11,911322
323000_10,910323
324000_11,911324
324000_12,912324
325000_11,911325
326000_04,904326
326000_05,905326
326000_06,906326
327000_17,917327
328000_17,917328
329000_09,909329
329000_10,910329
330000_05,905330
332000_04,904332
334000_16,916334
335000_13,913335
336000_12,912336
338000_13,913338
338000_14,914338
339000_12,912339
341000_12,912341
341000_14,914341
344000_13,913344
346000_15,915346
347000_05,905347
999000_08,908999
999000_09,909999
999000_10,910999
999000_13,913999
999000_14,914999
